Player,Pos,Tm,Total Rebounds,Asists,Steals,Blocks,Points
Gorgui Dieng (PF),PF,MIN,647,158,88,95,816
Spencer Dinwiddie (PG),PG,BRK,164,185,44,23,432
Toney Douglas (PG),PG,MEM,61,56,18,5,117
Goran Dragic (PG),PG,MIA,278,423,89,13,1483
Andre Drummond (C),C,DET,1116,89,124,89,1105
Jared Dudley (PF),PF,PHO,225,121,42,16,434
Mike Dunleavy (SF),SF,TOT,230,100,30,14,550
Kris Dunn (PG),PG,MIN,166,188,78,36,293
Kevin Durant (SF),SF,GSW,513,300,66,99,1555
Jarell Eddie (SF),SF,PHO,7,0,1,0,24
Henry Ellenson (PF),PF,DET,41,7,1,1,60
Wayne Ellington (SG),SG,MIA,133,70,35,4,648
Monta Ellis (SG),SG,IND,204,236,79,27,630
Joel Embiid (C),C,PHI,243,66,27,76,627
James Ennis (SF),SF,MEM,259,64,46,19,429
Tyler Ennis (PG),PG,TOT,92,172,52,4,456
Tyreke Evans (SF),SF,TOT,274,248,70,18,822
Dante Exum (PG),PG,UTA,132,112,21,12,412
Kenneth Faried (PF),PF,DEN,461,55,43,40,587
Jordan Farmar (PG),PG,SAC,3,9,2,0,12
Derrick Favors (PF),PF,UTA,305,56,45,40,476
Kay Felder (PG),PG,CLE,41,58,18,7,166
Cristiano Felicio (C),C,CHI,311,40,25,16,316
Raymond Felton (PG),PG,LAC,217,191,67,22,538
Yogi Ferrell (PG),PG,TOT,222,344,84,18,924
Dorian Finney-Smith (PF),PF,DAL,221,67,52,25,350
Bryn Forbes (SG),SG,SAS,23,23,1,0,94
Evan Fournier (SG),SG,ORL,209,202,66,4,1167
Randy Foye (SG),SG,BRK,155,135,35,9,357
Tim Frazier (PG),PG,NOP,173,335,56,6,464
Channing Frye (C),C,CLE,290,45,33,37,676
Danilo Gallinari (SF),SF,DEN,326,135,40,15,1145
Langston Galloway (PG),PG,TOT,312,186,92,12,1170
Patricio Garino (SG),SG,ORL,7,0,0,0,0
Marc Gasol (C),C,MEM,462,338,67,99,1446
Pau Gasol (C),C,SAS,501,150,24,70,792
Rudy Gay (SF),SF,SAC,190,82,44,26,562
Michael Gbinije (SG),SG,DET,3,2,0,0,4
Alonzo Gee (SF),SF,DEN,15,6,5,1,11
Paul George (SF),SF,IND,492,251,117,27,1775
Marcus Georges-Hunt (SG),SG,ORL,9,3,1,0,14
Jonathan Gibson (PG),PG,DAL,22,26,8,0,106
Taj Gibson (PF),PF,TOT,972,146,84,132,1692
Manu Ginobili (SG),SG,SAS,157,183,82,16,517
Rudy Gobert (C),C,UTA,1035,97,49,214,1137
Archie Goodwin (SG),SG,TOT,56,48,8,10,220
Aaron Gordon (SF),SF,ORL,405,150,64,40,1019
Eric Gordon (SG),SG,HOU,201,188,48,40,1217
Marcin Gortat (C),C,WAS,849,121,40,65,883
Treveon Graham (SG),SG,CHO,22,6,6,1,57
Jerami Grant (SF),SF,TOT,412,92,66,158,874
Jerian Grant (PG),PG,CHI,111,120,47,8,370
Danny Green (SG),SG,SAS,224,124,71,58,497
Draymond Green (PF),PF,GSW,599,533,154,106,776
Gerald Green (SF),SF,BOS,85,33,9,7,262
JaMychal Green (PF),PF,MEM,544,84,46,34,689
Jeff Green (PF),PF,ORL,214,81,37,13,638
Blake Griffin (PF),PF,LAC,496,300,58,23,1316
Justin Hamilton (C),C,BRK,262,55,29,43,442
A.J. Hammons (C),C,DAL,36,4,1,13,48
Tim Hardaway (SG),SG,ATL,224,182,55,15,1143
James Harden (PG),PG,HOU,659,906,120,37,2356
Maurice Harkless (SF),SF,POR,341,89,85,70,773
Justin Harper (PF),PF,PHI,5,2,0,0,12
Montrezl Harrell (C),C,HOU,219,64,20,42,527
Devin Harris (PG),PG,DAL,127,136,43,7,437
Gary Harris (SG),SG,DEN,178,164,71,8,851
Joe Harris (SG),SG,BRK,147,54,30,8,428
Manny Harris (SG),SG,DAL,9,2,0,0,8
Tobias Harris (PF),PF,DET,416,142,60,39,1321
Aaron Harrison (SG),SG,CHO,3,3,0,0,1
Andrew Harrison (PG),PG,MEM,136,198,54,20,425
Udonis Haslem (C),C,MIA,36,6,5,1,31
Spencer Hawes (PF),PF,TOT,382,162,30,60,674
Gordon Hayward (SF),SF,UTA,393,252,73,20,1601
Gerald Henderson (SG),SG,PHI,185,112,41,15,662
John Henson (C),C,MIL,295,57,29,78,392
Juan Hernangomez (PF),PF,DEN,187,29,29,12,305
Willy Hernangomez (C),C,NYK,502,96,41,36,587
Mario Hezonja (SF),SF,ORL,146,62,30,14,317
Roy Hibbert (C),C,TOT,308,42,16,92,442
Buddy Hield (SG),SG,TOT,538,242,76,18,1732
Nene Hilario (C),C,HOU,281,65,56,40,609
George Hill (PG),PG,UTA,167,203,50,11,829
Jordan Hill (C),C,MIN,14,0,1,0,12
Solomon Hill (SF),SF,NOP,307,141,71,32,563
Darrun Hilliard (SG),SG,DET,33,33,11,2,127
Jrue Holiday (PG),PG,NOP,264,488,100,43,1029
Justin Holiday (SG),SG,NYK,225,102,65,31,629
Rondae Hollis-Jefferson (SF),SF,BRK,452,154,82,44,675
Richaun Holmes (C),C,PHI,311,58,42,55,559
Rodney Hood (SG),SG,UTA,202,96,38,11,748
Al Horford (C),C,BOS,464,337,52,87,952
Danuel House (SG),SG,WAS,1,0,0,0,0
Dwight Howard (C),C,ATL,940,104,64,92,1002
Marcelo Huertas (PG),PG,LAL,24,52,10,2,63
Josh Huestis (PF),PF,OKC,9,3,0,3,14
Kris Humphries (PF),PF,ATL,206,29,15,21,257
R.J. Hunter (SG),SG,CHI,1,0,0,0,0
Serge Ibaka (PF),PF,TOT,1076,150,82,248,2346
Andre Iguodala (SF),SF,GSW,304,262,76,39,574
Ersan Ilyasova (PF),PF,TOT,962,282,116,46,2142
Joe Ingles (SF),SF,UTA,260,224,96,8,581
Brandon Ingram (SF),SF,LAL,317,166,50,36,740
Kyrie Irving (PG),PG,CLE,230,418,83,25,1816
Jarrett Jack (PG),PG,NOP,0,5,2,0,6
Demetrius Jackson (PG),PG,BOS,4,3,0,0,10
Pierre Jackson (PG),PG,DAL,9,19,2,0,35
Reggie Jackson (PG),PG,DET,113,270,35,5,752
LeBron James (SF),SF,CLE,640,646,92,44,1954
Al Jefferson (C),C,IND,278,57,19,16,535
Richard Jefferson (SF),SF,CLE,202,78,26,10,448
John Jenkins (SG),SG,PHO,1,1,0,0,7
Brandon Jennings (PG),PG,TOT,392,790,140,10,1154
Jonas Jerebko (PF),PF,BOS,273,71,26,17,299
Amir Johnson (PF),PF,BOS,365,140,52,62,520
Brice Johnson (PF),PF,LAC,3,1,2,1,4
James Johnson (PF),PF,MIA,375,276,76,86,975
Joe Johnson (SF),SF,UTA,242,144,36,18,715
Stanley Johnson (SF),SF,DET,189,105,56,24,339
Tyler Johnson (PG),PG,MIA,293,233,84,44,1002
Wesley Johnson (SF),SF,LAC,181,23,29,30,186
Nikola Jokic (C),C,DEN,718,359,61,56,1221
Dahntay Jones (SF),SF,CLE,2,1,0,0,9
Damian Jones (C),C,GSW,23,0,1,4,19
Derrick Jones (SF),SF,PHO,79,12,14,13,168
James Jones (SF),SF,CLE,38,14,7,10,132
Terrence Jones (PF),PF,TOT,612,116,80,108,1168
Tyus Jones (PG),PG,MIN,67,156,47,5,209
DeAndre Jordan (C),C,LAC,1114,96,52,135,1029
Cory Joseph (SG),SG,TOR,235,265,66,13,740
Frank Kaminsky (C),C,CHO,336,162,47,34,874
Enes Kanter (C),C,OKC,482,67,32,38,1033
Ryan Kelly (PF),PF,ATL,18,8,4,5,25
Michael Kidd-Gilchrist (SF),SF,CHO,565,114,81,77,743
Sean Kilpatrick (SG),SG,BRK,280,157,46,6,919
Brandon Knight (SG),SG,PHO,118,130,27,5,595
Kyle Korver (SG),SG,TOT,374,220,68,42,1356
Kosta Koufos (C),C,SAC,403,47,36,48,470
Mindaugas Kuzminskas (SF),SF,NYK,126,69,29,11,425
Skal Labissiere (PF),PF,SAC,162,27,16,13,289
Jeremy Lamb (SG),SG,CHO,264,75,27,23,603
Nicolas Laprovittola (PG),PG,SAS,10,28,4,1,59
Joffrey Lauvergne (PF-C),PF-C,TOT,502,140,50,12,750
Zach LaVine (SG),SG,MIN,159,139,41,10,889
Ty Lawson (PG),PG,SAC,179,335,74,6,681
Jake Layman (SF),SF,POR,24,11,9,3,78
Courtney Lee (SG),SG,NYK,260,179,81,23,835
David Lee (PF),PF,SAS,440,124,31,40,576
Alex Len (C),C,PHO,510,44,37,98,613
Kawhi Leonard (SF),SF,SAS,430,260,132,55,1888
Meyers Leonard (PF),PF,POR,236,71,13,28,401
Jon Leuer (PF),PF,DET,402,111,31,26,767
Caris LeVert (SF),SF,BRK,188,110,49,8,468
DeAndre Liggins (SG),SG,TOT,216,108,94,28,304
Damian Lillard (PG),PG,POR,368,439,68,20,2024
Jeremy Lin (PG),PG,BRK,135,184,41,14,523
Shaun Livingston (PG),PG,GSW,151,139,38,20,389
Shawn Long (C),C,PHI,85,13,9,9,148
Kevon Looney (C),C,GSW,124,29,14,17,135
Brook Lopez (C),C,BRK,403,176,38,124,1539
Robin Lopez (C),C,CHI,519,80,18,117,839
Kevin Love (PF),PF,CLE,666,116,53,22,1142
Kyle Lowry (PG),PG,TOR,288,417,88,19,1344
John Lucas (PG),PG,MIN,0,1,2,0,2
Timothe Luwawu-Cabarrot (SF),SF,PHI,149,75,32,10,445
Trey Lyles (PF),PF,UTA,235,70,26,20,440
Shelvin Mack (PG),PG,UTA,128,154,42,3,430
Ian Mahinmi (C),C,WAS,150,19,33,24,173
Thon Maker (C),C,MIL,114,23,10,26,226
Boban Marjanovic (C),C,DET,130,9,6,12,191
Jarell Martin (PF),PF,MEM,162,8,17,9,165
Wesley Matthews (SG),SG,DAL,259,210,77,16,986
Luc Mbah (SF),SF,LAC,174,39,81,35,484
James Michael (PF),PF,GSW,90,17,18,29,147
Patrick McCaw (SG),SG,GSW,101,77,32,15,282
Sheldon McClellan (SG),SG,WAS,34,15,8,2,90
C.J. McCollum (SG),SG,POR,291,285,72,42,1837
T.J. McConnell (PG),PG,PHI,251,534,134,10,556
Chris McCullough (PF),PF,TOT,38,4,4,4,72
K.J. McDaniels (SF),SF,TOT,164,26,38,36,412
Doug McDermott (SF),SF,TOT,358,116,26,10,1184
JaVale McGee (C),C,GSW,244,17,19,67,472
Rodney McGruder (SG),SG,MIA,257,124,45,18,497
Ben McLemore (SG),SG,SAC,130,51,29,6,495
Jordan McRae (SG),SG,CLE,40,19,8,6,161
Josh McRoberts (PF),PF,MIA,74,50,10,4,107
Jodie Meeks (SG),SG,ORL,77,45,34,4,327
Salah Mejri (C),C,DAL,308,14,32,61,213
Jordan Mickey (PF),PF,BOS,34,7,3,6,38
Khris Middleton (SF),SF,MIL,123,99,41,7,426
C.J. Miles (SF),SF,IND,229,48,46,25,815
Mike Miller (SF),SF,DEN,39,22,2,0,28
Patty Mills (PG),PG,SAS,142,280,65,3,759
Elijah Millsap (SG),SG,PHO,6,1,0,0,3
