"","Year","Player","PTS","STL","BLK","TRB","AST"
"5063",1978,"Don Buse",NA,185,NA,NA,NA
"5368",1978,"Gus Williams",NA,185,NA,NA,NA
"5341",1978,"Foots Walker",NA,176,NA,NA,NA
"53221",1978,"Randy Smith",NA,172,NA,NA,NA
"5326",1978,"Ricky Sobers",NA,170,NA,NA,NA
"5126",1978,"Chris Ford",NA,166,NA,NA,NA
"5167",1978,"Wilbur Holland",NA,164,NA,NA,NA
"5217",1978,"John Lucas",NA,160,NA,NA,NA
"5551",1979,"Eddie Jordan",NA,201,NA,NA,NA
"5611",1979,"Norm Nixon",NA,201,NA,NA,NA
"5438",1979,"M.L. Carr",NA,197,NA,NA,NA
"5670",1979,"Randy Smith",NA,177,NA,NA,NA
"5444",1979,"Maurice Cheeks",NA,174,NA,NA,NA
"5485",1979,"Phil Ford",NA,174,NA,NA,NA
"5622",1979,"Kevin Porter",NA,158,NA,NA,NA
"5720",1979,"Gus Williams",NA,158,NA,NA,NA
"5428",1979,"Quinn Buckner",NA,156,NA,NA,NA
"5431",1979,"Don Buse",NA,156,NA,NA,NA
"6003",1980,"Micheal Ray",NA,265,NA,NA,NA
"5901",1980,"Eddie Jordan",NA,223,NA,NA,NA
"5760",1980,"Dudley Bradley",NA,211,NA,NA,NA
"6073",1980,"Gus Williams",NA,200,NA,NA,NA
"5890",1980,"Magic Johnson*",NA,187,NA,NA,NA
"5788",1980,"Maurice Cheeks",NA,183,NA,NA,NA
"5985",1980,"Sonny Parker",NA,173,NA,NA,NA
"58321",1980,"Julius Erving*",NA,170,NA,NA,NA
"6074",1980,"Ray Williams",NA,167,NA,NA,NA
"6053",1980,"Foots Walker",NA,155,NA,NA,NA
"6365",1981,"Micheal Ray",NA,232,NA,NA,NA
"6120",1981,"Quinn Buckner",NA,197,NA,NA,NA
"6135",1981,"Maurice Cheeks",NA,193,NA,NA,NA
"6106",1981,"Dudley Bradley",NA,186,NA,NA,NA
"6441",1981,"Ray Williams",NA,185,NA,NA,NA
"61801",1981,"Julius Erving*",NA,173,NA,NA,NA
"6288",1981,"Ron Lee",NA,166,NA,NA,NA
"6362",1981,"Robert Reid",NA,163,NA,NA,NA
"6101",1981,"Larry Bird*",NA,161,NA,NA,NA
"6338",1981,"Norm Nixon",NA,146,NA,NA,NA
"6730",1982,"Micheal Ray",NA,213,NA,NA,NA
"6505",1982,"Maurice Cheeks",NA,209,NA,NA,NA
"6612",1982,"Magic Johnson*",NA,208,NA,NA,NA
"6806",1982,"Ray Williams",NA,199,NA,NA,NA
"6563",1982,"Rickey Green",NA,185,NA,NA,NA
"6488",1982,"Quinn Buckner",NA,174,NA,NA,NA
"68041",1982,"Gus Williams",NA,172,NA,NA,NA
"6493",1982,"Don Buse",NA,164,NA,NA,NA
"6696",1982,"Johnny Moore",NA,163,NA,NA,NA
"65471",1982,"Julius Erving*",NA,161,NA,NA,NA
"6943",1983,"Rickey Green",NA,220,NA,NA,NA
"71581",1983,"Isiah Thomas*",NA,199,NA,NA,NA
"6877",1983,"Darwin Cook",NA,194,NA,NA,NA
"7068",1983,"Johnny Moore",NA,194,NA,NA,NA
"6874",1983,"Maurice Cheeks",NA,184,NA,NA,NA
"7108",1983,"Micheal Ray",NA,182,NA,NA,NA
"7199",1983,"Gus Williams",NA,182,NA,NA,NA
"6984",1983,"Magic Johnson*",NA,176,NA,NA,NA
"7030",1983,"Allen Leavell",NA,165,NA,NA,NA
"7032",1983,"Fat Lever",NA,153,NA,NA,NA
"7317",1984,"Rickey Green",NA,215,NA,NA,NA
"7499",1984,"Isiah Thomas*",NA,204,NA,NA,NA
"7543",1984,"Gus Williams",NA,189,NA,NA,NA
"7288",1984,"T.R. Dunn",NA,173,NA,NA,NA
"7256",1984,"Maurice Cheeks",NA,171,NA,NA,NA
"7261",1984,"Darwin Cook",NA,164,NA,NA,NA
"7260",1984,"Lester Conner",NA,162,NA,NA,NA
"7546",1984,"Ray Williams",NA,162,NA,NA,NA
"7349",1984,"Magic Johnson*",NA,150,NA,NA,NA
"72311",1984,"Larry Bird*",NA,144,NA,NA,NA
"7805",1985,"Micheal Ray",NA,243,NA,NA,NA
"7771",1985,"Johnny Moore",NA,229,NA,NA,NA
"7735",1985,"Fat Lever",NA,202,NA,NA,NA
"77171",1985,"Michael Jordan*",NA,196,NA,NA,NA
"7858",1985,"Isiah Thomas*",NA,187,NA,NA,NA
"7902",1985,"Gus Williams",NA,178,NA,NA,NA
"7635",1985,"Clyde Drexler*",NA,177,NA,NA,NA
"7605",1985,"Maurice Cheeks",NA,169,NA,NA,NA
"7882",1985,"Darrell Walker",NA,167,NA,NA,NA
"7806",1985,"Doc Rivers",NA,163,NA,NA,NA
"8192",1986,"Alvin Robertson",NA,301,NA,NA,NA
"7975",1986,"Maurice Cheeks",NA,207,NA,NA,NA
"8009",1986,"Clyde Drexler*",NA,197,NA,NA,NA
"8113",1986,"Fat Lever",NA,178,NA,NA,NA
"7937",1986,"Charles Barkley*",NA,173,NA,NA,NA
"8226",1986,"Isiah Thomas*",NA,171,NA,NA,NA
"8182",1986,"Paul Pressey",NA,168,NA,NA,NA
"79411",1986,"Larry Bird*",NA,166,NA,NA,NA
"8024",1986,"Sleepy Floyd",NA,157,NA,NA,NA
"8219",1986,"John Stockton*",NA,157,NA,NA,NA
"8569",1987,"Alvin Robertson",NA,260,NA,NA,NA
"84701",1987,"Michael Jordan*",NA,236,NA,NA,NA
"8430",1987,"Ron Harper",NA,209,NA,NA,NA
"8386",1987,"Clyde Drexler*",NA,204,NA,NA,NA
"8485",1987,"Fat Lever",NA,201,NA,NA,NA
"8352",1987,"Maurice Cheeks",NA,180,NA,NA,NA
"8603",1987,"John Stockton*",NA,177,NA,NA,NA
"8567",1987,"Doc Rivers",NA,171,NA,NA,NA
"8429",1987,"Derek Harper",NA,167,NA,NA,NA
"8558",1987,"Terry Porter",NA,159,NA,NA,NA
"88701",1988,"Michael Jordan*",NA,259,NA,NA,NA
"8979",1988,"Alvin Robertson",NA,243,NA,NA,NA
"9019",1988,"John Stockton*",NA,242,NA,NA,NA
"8884",1988,"Fat Lever",NA,223,NA,NA,NA
"8853",1988,"Mark Jackson",NA,205,NA,NA,NA
"87711",1988,"Clyde Drexler*",NA,203,NA,NA,NA
"8914",1988,"Nate McMillan",NA,169,NA,NA,NA
"8685",1988,"Michael Adams",NA,168,NA,NA,NA
"8817",1988,"Derek Harper",NA,168,NA,NA,NA
"8732",1988,"Maurice Cheeks",NA,167,NA,NA,NA
"9462",1989,"John Stockton*",NA,263,NA,NA,NA
"92981",1989,"Michael Jordan*",NA,234,NA,NA,NA
"92031",1989,"Clyde Drexler*",NA,213,NA,NA,NA
"93831",1989,"Hakeem Olajuwon*",NA,213,NA,NA,NA
"9418",1989,"Alvin Robertson",NA,197,NA,NA,NA
"9322",1989,"Fat Lever",NA,195,NA,NA,NA
"9257",1989,"Ron Harper",NA,185,NA,NA,NA
"9173",1989,"Lester Conner",NA,181,NA,NA,NA
"9416",1989,"Doc Rivers",NA,181,NA,NA,NA
"93641",1989,"Chris Mullin*",NA,176,NA,NA,NA
"97481",1990,"Michael Jordan*",NA,227,NA,NA,NA
"9859",1990,"Scottie Pippen*",NA,211,NA,NA,NA
"9881",1990,"Alvin Robertson",NA,207,NA,NA,NA
"9924",1990,"John Stockton*",NA,207,NA,NA,NA
"9702",1990,"Derek Harper",NA,187,NA,NA,NA
"9623",1990,"Tyrone Corbin",NA,175,NA,NA,NA
"98411",1990,"Hakeem Olajuwon*",NA,174,NA,NA,NA
"9619",1990,"Lester Conner",NA,172,NA,NA,NA
"9775",1990,"Fat Lever",NA,168,NA,NA,NA
"9578",1990,"Muggsy Bogues",NA,166,NA,NA,NA
"10335",1991,"Alvin Robertson",NA,246,NA,NA,NA
"10378",1991,"John Stockton*",NA,234,NA,NA,NA
"102131",1991,"Michael Jordan*",NA,223,NA,NA,NA
"101761",1991,"Tim Hardaway",NA,214,NA,NA,NA
"10315",1991,"Scottie Pippen*",NA,193,NA,NA,NA
"10181",1991,"Hersey Hawkins",NA,178,NA,NA,NA
"102811",1991,"Chris Mullin*",NA,173,NA,NA,NA
"10045",1991,"Mookie Blaylock",NA,169,NA,NA,NA
"10302",1991,"Gary Payton*",NA,165,NA,NA,NA
"10208",1991,"Kevin Johnson",NA,163,NA,NA,NA
"10845",1992,"John Stockton*",NA,244,NA,NA,NA
"10893",1992,"Micheal Williams",NA,233,NA,NA,NA
"10796",1992,"Alvin Robertson",NA,210,NA,NA,NA
"106671",1992,"Michael Jordan*",NA,182,NA,NA,NA
"107381",1992,"Chris Mullin*",NA,173,NA,NA,NA
"10493",1992,"Mookie Blaylock",NA,170,NA,NA,NA
"10494",1992,"Muggsy Bogues",NA,170,NA,NA,NA
"10862",1992,"Sedale Threatt",NA,168,NA,NA,NA
"106271",1992,"Tim Hardaway",NA,164,NA,NA,NA
"10648",1992,"Jeff Hornacek",NA,158,NA,NA,NA
"111071",1993,"Michael Jordan*",NA,221,NA,NA,NA
"10953",1993,"Mookie Blaylock",NA,203,NA,NA,NA
"11296",1993,"John Stockton*",NA,199,NA,NA,NA
"11074",1993,"Ron Harper",NA,177,NA,NA,NA
"11206",1993,"Gary Payton*",NA,177,NA,NA,NA
"11177",1993,"Eric Murdock",NA,174,NA,NA,NA
"11166",1993,"Nate McMillan",NA,173,NA,NA,NA
"11218",1993,"Scottie Pippen*",NA,173,NA,NA,NA
"11340",1993,"Micheal Williams",NA,165,NA,NA,NA
"10954",1993,"Muggsy Bogues",NA,161,NA,NA,NA
"11656",1994,"Nate McMillan",NA,216,NA,NA,NA
"11396",1994,"Mookie Blaylock",NA,212,NA,NA,NA
"11713",1994,"Scottie Pippen*",NA,211,NA,NA,NA
"11778",1994,"John Stockton*",NA,199,NA,NA,NA
"11671",1994,"Eric Murdock",NA,197,NA,NA,NA
"11541",1994,"Anfernee Hardaway",NA,190,NA,NA,NA
"11701",1994,"Gary Payton*",NA,188,NA,NA,NA
"117741",1994,"Latrell Sprewell",NA,180,NA,NA,NA
"11535",1994,"Tom Gugliotta",NA,172,NA,NA,NA
"11617",1994,"Fat Lever",NA,159,NA,NA,NA
"121601",1995,"Scottie Pippen*",NA,232,NA,NA,NA
"12146",1995,"Gary Payton*",NA,204,NA,NA,NA
"11874",1995,"Mookie Blaylock",NA,200,NA,NA,NA
"12228",1995,"John Stockton*",NA,194,NA,NA,NA
"12109",1995,"Nate McMillan",NA,165,NA,NA,NA
"12151",1995,"Elliot Perry",NA,156,NA,NA,NA
"12055",1995,"Jason Kidd",NA,151,NA,NA,NA
"11863",1995,"Dana Barros",NA,149,NA,NA,NA
"11944",1995,"Clyde Drexler*",NA,136,NA,NA,NA
"121831",1995,"David Robinson*",NA,134,NA,NA,NA
"12647",1996,"Gary Payton*",NA,231,NA,NA,NA
"12331",1996,"Mookie Blaylock",NA,212,NA,NA,NA
"125291",1996,"Michael Jordan*",NA,180,NA,NA,NA
"12537",1996,"Jason Kidd",NA,175,NA,NA,NA
"124871",1996,"Anfernee Hardaway",NA,166,NA,NA,NA
"12696",1996,"Alvin Robertson",NA,166,NA,NA,NA
"12497",1996,"Hersey Hawkins",NA,149,NA,NA,NA
"12757",1996,"John Stockton*",NA,140,NA,NA,NA
"12479",1996,"Tom Gugliotta",NA,139,NA,NA,NA
"125741",1996,"Karl Malone*",NA,138,NA,NA,NA
"12877",1997,"Mookie Blaylock",NA,212,NA,NA,NA
"12936",1997,"Doug Christie",NA,201,NA,NA,NA
"132351",1997,"Gary Payton*",NA,197,NA,NA,NA
"13095",1997,"Eddie Jones",NA,189,NA,NA,NA
"13010",1997,"Rick Fox",NA,167,NA,NA,NA
"13338",1997,"John Stockton*",NA,166,NA,NA,NA
"12851",1997,"Kenny Anderson",NA,162,NA,NA,NA
"13378",1997,"David Wesley",NA,162,NA,NA,NA
"13057",1997,"Hersey Hawkins",NA,159,NA,NA,NA
"130771",1997,"Allen Iverson*",NA,157,NA,NA,NA
"13667",1998,"Brevin Knight",NA,196,NA,NA,NA
"13507",1998,"Doug Christie",NA,190,NA,NA,NA
"13759",1998,"Gary Payton*",NA,185,NA,NA,NA
"13460",1998,"Mookie Blaylock",NA,183,NA,NA,NA
"136371",1998,"Allen Iverson*",NA,176,NA,NA,NA
"13664",1998,"Jason Kidd",NA,162,NA,NA,NA
"13653",1998,"Eddie Jones",NA,160,NA,NA,NA
"13589",1998,"Kendall Gill",NA,156,NA,NA,NA
"13615",1998,"Hersey Hawkins",NA,148,NA,NA,NA
"13917",1998,"Charlie Ward",NA,144,NA,NA,NA
"14130",1999,"Kendall Gill",NA,134,NA,NA,NA
"14196",1999,"Eddie Jones",NA,125,NA,NA,NA
"14207",1999,"Jason Kidd",NA,114,NA,NA,NA
"14050",1999,"Doug Christie",NA,113,NA,NA,NA
"14144",1999,"Anfernee Hardaway",NA,111,NA,NA,NA
"141781",1999,"Allen Iverson*",NA,110,NA,NA,NA
"143131",1999,"Gary Payton*",NA,109,NA,NA,NA
"13977",1999,"Darrell Armstrong",NA,108,NA,NA,NA
"14429",1999,"Charlie Ward",NA,103,NA,NA,NA
"14389",1999,"Eric Snow",NA,100,NA,NA,NA
"14711",2000,"Eddie Jones",NA,192,NA,NA,NA
"14486",2000,"Darrell Armstrong",NA,169,NA,NA,NA
"148261",2000,"Gary Payton*",NA,153,NA,NA,NA
"14835",2000,"Paul Pierce",NA,152,NA,NA,NA
"14509",2000,"Mookie Blaylock",NA,146,NA,NA,NA
"146861",2000,"Allen Iverson*",NA,144,NA,NA,NA
"14896",2000,"John Stockton*",NA,143,NA,NA,NA
"14884",2000,"Eric Snow",NA,140,NA,NA,NA
"14480",2000,"Kenny Anderson",NA,139,NA,NA,NA
"14642",2000,"Kendall Gill",NA,139,NA,NA,NA
"15053",2001,"Doug Christie",NA,183,NA,NA,NA
"151871",2001,"Allen Iverson*",NA,178,NA,NA,NA
"15082",2001,"Baron Davis",NA,170,NA,NA,NA
"15220",2001,"Jason Kidd",NA,166,NA,NA,NA
"15002",2001,"Mookie Blaylock",NA,163,NA,NA,NA
"15019",2001,"Terrell Brandon",NA,161,NA,NA,NA
"15502",2001,"Metta World",NA,152,NA,NA,NA
"15128",2001,"Steve Francis",NA,141,NA,NA,NA
"153661",2001,"Paul Pierce",NA,138,NA,NA,NA
"154701",2001,"Antoine Walker",NA,138,NA,NA,NA
"15755",2002,"Jason Kidd",NA,175,NA,NA,NA
"15623",2002,"Baron Davis",NA,172,NA,NA,NA
"157221",2002,"Allen Iverson*",NA,168,NA,NA,NA
"15599",2002,"Doug Christie",NA,160,NA,NA,NA
"15526",2002,"Darrell Armstrong",NA,157,NA,NA,NA
"158721",2002,"Paul Pierce",NA,154,NA,NA,NA
"157831",2002,"Karl Malone*",NA,152,NA,NA,NA
"15945",2002,"John Stockton*",NA,152,NA,NA,NA
"15786",2002,"Shawn Marion",NA,149,NA,NA,NA
"15538",2002,"Brent Barry",NA,147,NA,NA,NA
"162141",2003,"Allen Iverson*",NA,225,NA,NA,NA
"16272",2003,"Shawn Marion",NA,185,NA,NA,NA
"160711",2003,"Kobe Bryant",NA,181,NA,NA,NA
"16093",2003,"Doug Christie",NA,180,NA,NA,NA
"16244",2003,"Jason Kidd",NA,179,NA,NA,NA
"16486",2003,"Metta World",NA,159,NA,NA,NA
"16149",2003,"Steve Francis",NA,141,NA,NA,NA
"163531",2003,"Paul Pierce",NA,139,NA,NA,NA
"16078",2003,"Caron Butler",NA,137,NA,NA,NA
"16413",2003,"John Stockton*",NA,137,NA,NA,NA
"16805",2004,"Shawn Marion",NA,167,NA,NA,NA
"16622",2004,"Baron Davis",NA,158,NA,NA,NA
"17071",2004,"Metta World",NA,152,NA,NA,NA
"16599",2004,"Doug Christie",NA,151,NA,NA,NA
"16775",2004,"Andrei Kirilenko",NA,150,NA,NA,NA
"17021",2004,"Ben Wallace",NA,143,NA,NA,NA
"16744",2004,"Stephen Jackson",NA,142,NA,NA,NA
"16838",2004,"Andre Miller",NA,142,NA,NA,NA
"16670",2004,"Steve Francis",NA,139,NA,NA,NA
"16917",2004,"James Posey",NA,137,NA,NA,NA
"173311",2005,"Allen Iverson*",NA,180,NA,NA,NA
"173451",2005,"LeBron James",NA,177,NA,NA,NA
"17322",2005,"Larry Hughes",NA,176,NA,NA,NA
"17399",2005,"Shawn Marion",NA,163,NA,NA,NA
"170951",2005,"Gilbert Arenas",NA,139,NA,NA,NA
"17328",2005,"Andre Iguodala",NA,138,NA,NA,NA
"174121",2005,"Tracy McGrady",NA,135,NA,NA,NA
"17491",2005,"Paul Pierce",NA,133,NA,NA,NA
"17376",2005,"Brevin Knight",NA,131,NA,NA,NA
"17127",2005,"Mike Bibby",NA,124,NA,NA,NA
"18053",2006,"Chris Paul",NA,175,NA,NA,NA
"176781",2006,"Gilbert Arenas",NA,161,NA,NA,NA
"17972",2006,"Shawn Marion",NA,160,NA,NA,NA
"17949",2006,"Brevin Knight",NA,157,NA,NA,NA
"17946",2006,"Jason Kidd",NA,150,NA,NA,NA
"177431",2006,"Kobe Bryant",NA,147,NA,NA,NA
"181771",2006,"Dwyane Wade",NA,146,NA,NA,NA
"18181",2006,"Ben Wallace",NA,146,NA,NA,NA
"179051",2006,"Allen Iverson*",NA,140,NA,NA,NA
"18048",2006,"Smush Parker",NA,140,NA,NA,NA
"18517",2007,"Shawn Marion",NA,156,NA,NA,NA
"18442",2007,"Andre Iguodala",NA,152,NA,NA,NA
"18738",2007,"Metta World",NA,149,NA,NA,NA
"18704",2007,"Gerald Wallace",NA,144,NA,NA,NA
"182421",2007,"Gilbert Arenas",NA,139,NA,NA,NA
"18331",2007,"Baron Davis",NA,135,NA,NA,NA
"18299",2007,"Caron Butler",NA,134,NA,NA,NA
"18357",2007,"Monta Ellis",NA,132,NA,NA,NA
"18234",2007,"Rafer Alston",NA,129,NA,NA,NA
"18636",2007,"Rajon Rondo",NA,128,NA,NA,NA
"19165",2008,"Chris Paul",NA,217,NA,NA,NA
"188661",2008,"Baron Davis",NA,191,NA,NA,NA
"19003",2008,"Andre Iguodala",NA,171,NA,NA,NA
"190081",2008,"Allen Iverson*",NA,160,NA,NA,NA
"188261",2008,"Kobe Bryant",NA,151,NA,NA,NA
"190181",2008,"LeBron James",NA,138,NA,NA,NA
"19055",2008,"Jason Kidd",NA,136,NA,NA,NA
"19327",2008,"Metta World",NA,133,NA,NA,NA
"19284",2008,"Gerald Wallace",NA,131,NA,NA,NA
"18811",2008,"Ronnie Brewer",NA,129,NA,NA,NA
"197531",2009,"Chris Paul",NA,216,NA,NA,NA
"198781",2009,"Dwyane Wade",NA,173,NA,NA,NA
"19444",2009,"Mario Chalmers",NA,160,NA,NA,NA
"19640",2009,"Jason Kidd",NA,160,NA,NA,NA
"19793",2009,"Rajon Rondo",NA,149,NA,NA,NA
"19415",2009,"Ronnie Brewer",NA,138,NA,NA,NA
"19363",2009,"Trevor Ariza",NA,137,NA,NA,NA
"196121",2009,"LeBron James",NA,137,NA,NA,NA
"19600",2009,"Andre Iguodala",NA,131,NA,NA,NA
"19515",2009,"Raymond Felton",NA,126,NA,NA,NA
"20386",2010,"Rajon Rondo",NA,189,NA,NA,NA
"20043",2010,"Stephen Curry",NA,152,NA,NA,NA
"20237",2010,"Jason Kidd",NA,145,NA,NA,NA
"20074",2010,"Monta Ellis",NA,143,NA,NA,NA
"204591",2010,"Dwyane Wade",NA,142,NA,NA,NA
"20187",2010,"Andre Iguodala",NA,141,NA,NA,NA
"202051",2010,"Stephen Jackson",NA,132,NA,NA,NA
"20410",2010,"Josh Smith",NA,130,NA,NA,NA
"19941",2010,"Trevor Ariza",NA,126,NA,NA,NA
"20047",2010,"Baron Davis",NA,126,NA,NA,NA
"20945",2011,"Chris Paul",NA,188,NA,NA,NA
"206881",2011,"Monta Ellis",NA,168,NA,NA,NA
"21090",2011,"Russell Westbrook",NA,155,NA,NA,NA
"20991",2011,"Rajon Rondo",NA,153,NA,NA,NA
"20643",2011,"Mike Conley",NA,144,NA,NA,NA
"20846",2011,"Jason Kidd",NA,134,NA,NA,NA
"20513",2011,"Tony Allen",NA,129,NA,NA,NA
"20706",2011,"Raymond Felton",NA,125,NA,NA,NA
"208131",2011,"LeBron James",NA,124,NA,NA,NA
"21117",2011,"Metta World",NA,124,NA,NA,NA
"21521",2012,"Chris Paul",NA,152,NA,NA,NA
"21227",2012,"Mike Conley",NA,136,NA,NA,NA
"21485",2012,"Paul Millsap",NA,118,NA,NA,NA
"213961",2012,"LeBron James",NA,115,NA,NA,NA
"216471",2012,"Russell Westbrook",NA,112,NA,NA,NA
"21314",2012,"Paul George",NA,108,NA,NA,NA
"21386",2012,"Andre Iguodala",NA,107,NA,NA,NA
"21590",2012,"Jeff Teague",NA,106,NA,NA,NA
"21136",2012,"Tony Allen",NA,104,NA,NA,NA
"214051",2012,"Brandon Jennings",NA,104,NA,NA,NA
"21784",2013,"Mike Conley",NA,174,NA,NA,NA
"218331",2013,"Monta Ellis",NA,169,NA,NA,NA
"22089",2013,"Chris Paul",NA,169,NA,NA,NA
"22216",2013,"Kemba Walker",NA,160,NA,NA,NA
"222311",2013,"Russell Westbrook",NA,145,NA,NA,NA
"21863",2013,"Paul George",NA,143,NA,NA,NA
"218871",2013,"James Harden",NA,142,NA,NA,NA
"21925",2013,"Andre Iguodala",NA,139,NA,NA,NA
"22128",2013,"Ricky Rubio",NA,137,NA,NA,NA
"21997",2013,"Jeremy Lin",NA,134,NA,NA,NA
"22731",2014,"Ricky Rubio",NA,191,NA,NA,NA
"22862",2014,"Thaddeus Young",NA,167,NA,NA,NA
"22699",2014,"Chris Paul",NA,154,NA,NA,NA
"22334",2014,"Corey Brewer",NA,151,NA,NA,NA
"224741",2014,"Paul George",NA,151,NA,NA,NA
"22833",2014,"John Wall",NA,149,NA,NA,NA
"22442",2014,"Monta Ellis",NA,141,NA,NA,NA
"22370",2014,"Michael Carter-Williams",NA,130,NA,NA,NA
"22645",2014,"Paul Millsap",NA,129,NA,NA,NA
"22685",2014,"Victor Oladipo",NA,129,NA,NA,NA
"230011",2015,"Stephen Curry",NA,163,NA,NA,NA
"233131",2015,"Chris Paul",NA,156,NA,NA,NA
"231151",2015,"James Harden",NA,154,NA,NA,NA
"22891",2015,"Trevor Ariza",NA,152,NA,NA,NA
"23044",2015,"Monta Ellis",NA,148,NA,NA,NA
"23213",2015,"Kawhi Leonard",NA,148,NA,NA,NA
"23317",2015,"Elfrid Payton",NA,142,NA,NA,NA
"234811",2015,"Russell Westbrook",NA,140,NA,NA,NA
"23473",2015,"John Wall",NA,138,NA,NA,NA
"23294",2015,"Nerlens Noel",NA,133,NA,NA,NA
"236341",2016,"Stephen Curry",NA,169,NA,NA,NA
"240711",2016,"Russell Westbrook",NA,163,NA,NA,NA
"23977",2016,"Ricky Rubio",NA,162,NA,NA,NA
"23543",2016,"Trevor Ariza",NA,160,NA,NA,NA
"23850",2016,"Kyle Lowry",NA,158,NA,NA,NA
"236931",2016,"Paul George",NA,152,NA,NA,NA
"23939",2016,"Chris Paul",NA,152,NA,NA,NA
"23659",2016,"Monta Ellis",NA,150,NA,NA,NA
"23893",2016,"Paul Millsap",NA,147,NA,NA,NA
"24061",2016,"John Wall",NA,145,NA,NA,NA
"4048",1974,"Elmore Smith",NA,NA,393,NA,NA
"38531",1974,"Kareem Abdul-Jabbar*",NA,NA,283,NA,NA
"39711",1974,"Bob Lanier*",NA,NA,247,NA,NA
"39891",1974,"Bob McAdoo*",NA,NA,246,NA,NA
"3943",1974,"Elvin Hayes*",NA,NA,240,NA,NA
"3946",1974,"Gar Heard",NA,NA,230,NA,NA
"3970",1974,"Sam Lacey",NA,NA,184,NA,NA
"4057",1974,"Nate Thurmond*",NA,NA,179,NA,NA
"4026",1974,"Clifford Ray",NA,NA,173,NA,NA
"3955",1974,"George Johnson",NA,NA,124,NA,NA
"4313",1975,"Elmore Smith",NA,NA,216,NA,NA
"40991",1975,"Kareem Abdul-Jabbar*",NA,NA,212,NA,NA
"4324",1975,"Nate Thurmond*",NA,NA,195,NA,NA
"42092",1975,"Elvin Hayes*",NA,NA,187,NA,NA
"42561",1975,"Bob McAdoo*",NA,NA,174,NA,NA
"42401",1975,"Bob Lanier*",NA,NA,172,NA,NA
"4239",1975,"Sam Lacey",NA,NA,168,NA,NA
"4145",1975,"Tom Burleson",NA,NA,153,NA,NA
"4223",1975,"George Johnson",NA,NA,136,NA,NA
"4155",1975,"Jim Chones",NA,NA,120,NA,NA
"43761",1976,"Kareem Abdul-Jabbar*",NA,NA,338,NA,NA
"4600",1976,"Elmore Smith",NA,NA,238,NA,NA
"4482",1976,"Elvin Hayes*",NA,NA,202,NA,NA
"4495",1976,"George Johnson",NA,NA,174,NA,NA
"4420",1976,"Harvey Catchings",NA,NA,164,NA,NA
"45321",1976,"Bob McAdoo*",NA,NA,160,NA,NA
"4415",1976,"Tom Burleson",NA,NA,150,NA,NA
"4551",1976,"Otto Moore",NA,NA,136,NA,NA
"4516",1976,"Sam Lacey",NA,NA,134,NA,NA
"4546",1976,"Joe Meriweather",NA,NA,120,NA,NA
"46511",1977,"Kareem Abdul-Jabbar*",NA,NA,261,NA,NA
"47861",1977,"Elvin Hayes*",NA,NA,220,NA,NA
"4970",1977,"Bill Walton*",NA,NA,211,NA,NA
"4769",1977,"Artis Gilmore*",NA,NA,203,NA,NA
"4816",1977,"Caldwell Jones",NA,NA,200,NA,NA
"4847",1977,"Moses Malone*",NA,NA,181,NA,NA
"4849",1977,"Moses Malone*",NA,NA,181,NA,NA
"4809",1977,"George Johnson",NA,NA,177,NA,NA
"4897",1977,"Billy Paultz",NA,NA,173,NA,NA
"48151",1977,"Bobby Jones",NA,NA,162,NA,NA
"5179",1978,"George Johnson",NA,NA,274,NA,NA
"5290",1978,"Tree Rollins",NA,NA,218,NA,NA
"5264",1978,"Billy Paultz",NA,NA,194,NA,NA
"5011",1978,"Kareem Abdul-Jabbar*",NA,NA,185,NA,NA
"51381",1978,"Artis Gilmore*",NA,NA,181,NA,NA
"5320",1978,"Elmore Smith",NA,NA,176,NA,NA
"5359",1978,"Marvin Webster",NA,NA,162,NA,NA
"5159",1978,"Elvin Hayes*",NA,NA,159,NA,NA
"5291",1978,"Dan Roundfield",NA,NA,149,NA,NA
"5346",1978,"Bill Walton*",NA,NA,146,NA,NA
"53831",1979,"Kareem Abdul-Jabbar*",NA,NA,316,NA,NA
"5643",1979,"Tree Rollins",NA,NA,254,NA,NA
"5542",1979,"George Johnson",NA,NA,253,NA,NA
"5616",1979,"Robert Parish*",NA,NA,217,NA,NA
"5693",1979,"Terry Tyler",NA,NA,201,NA,NA
"5516",1979,"Elvin Hayes*",NA,NA,190,NA,NA
"5644",1979,"Dan Roundfield",NA,NA,176,NA,NA
"5553",1979,"Rich Kelley",NA,NA,166,NA,NA
"5549",1979,"Caldwell Jones",NA,NA,157,NA,NA
"54981",1979,"Artis Gilmore*",NA,NA,156,NA,NA
"57281",1980,"Kareem Abdul-Jabbar*",NA,NA,280,NA,NA
"5887",1980,"George Johnson",NA,NA,258,NA,NA
"6012",1980,"Tree Rollins",NA,NA,244,NA,NA
"6049",1980,"Terry Tyler",NA,NA,220,NA,NA
"58651",1980,"Elvin Hayes*",NA,NA,189,NA,NA
"5786",1980,"Harvey Catchings",NA,NA,162,NA,NA
"5896",1980,"Caldwell Jones",NA,NA,162,NA,NA
"5996",1980,"Ben Poquette",NA,NA,162,NA,NA
"5815",1980,"Darryl Dawkins",NA,NA,142,NA,NA
"58322",1980,"Julius Erving*",NA,NA,140,NA,NA
"6242",1981,"George Johnson",NA,NA,278,NA,NA
"60861",1981,"Kareem Abdul-Jabbar*",NA,NA,228,NA,NA
