,Player,height,weight,collage,born,birth_city,birth_state,G/season,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Curly Armstrong,180,77,Indiana University,1918,,,50.5,#DIV/0!,#DIV/0!,#DIV/0!,0.37,#DIV/0!,0.4275,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.2,2.25,2.05,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,108,374,0.2945,#DIV/0!,#DIV/0!,#DIV/0!,108,374,0.2945,0.2945,114,165.5,0.6745,#DIV/0!,#DIV/0!,89,126.5,#DIV/0!,#DIV/0!,#DIV/0!,157,330
1,Cliff Barker,188,83,University of Kentucky,1921,Yorktown,Indiana,49.66666667,#DIV/0!,494,10.8,0.366666667,#DIV/0!,0.361666667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,3.70074E-17,0.7,0.7,0.008,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,67,212.3333333,0.307333333,#DIV/0!,#DIV/0!,#DIV/0!,67,212.3333333,0.307333333,0.307333333,51.66666667,78,0.648333333,#DIV/0!,#DIV/0!,90.5,98,#DIV/0!,#DIV/0!,#DIV/0!,84.33333333,185.6666667
2,Leo Barnhorst,193,86,University of Notre Dame,1924,,,68.8,#DIV/0!,2426.333333,15.95,0.3958,#DIV/0!,0.2088,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.65,2.925,3.55,0.0865,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,271.2,737.8,0.3622,#DIV/0!,#DIV/0!,#DIV/0!,271.2,737.8,0.3622,0.3622,104,156.4,0.6768,#DIV/0!,#DIV/0!,376.5,223.2,#DIV/0!,#DIV/0!,#DIV/0!,206.6,646.4
3,Ed Bartels,196,88,North Carolina State University,1925,,,11.75,#DIV/0!,#DIV/0!,#DIV/0!,0.32575,#DIV/0!,0.49925,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.45,0,-0.425,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,17,67.25,0.25225,#DIV/0!,#DIV/0!,#DIV/0!,17,67.25,0.25225,0.25225,15.5,28.5,0.574,#DIV/0!,#DIV/0!,84,13,#DIV/0!,#DIV/0!,#DIV/0!,28,49.5
4,Ralph Beard,178,79,University of Kentucky,1927,Hardinsburg,Kentucky,63,#DIV/0!,#DIV/0!,#DIV/0!,0.4285,#DIV/0!,0.321,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,3.85,1.75,5.65,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,374.5,1023,0.3655,#DIV/0!,#DIV/0!,#DIV/0!,374.5,1023,0.3655,0.3655,254,330,0.7685,#DIV/0!,#DIV/0!,251,275.5,#DIV/0!,#DIV/0!,#DIV/0!,114,1003
5,Gene Berce,180,79,Marquette University,1926,,,3,#DIV/0!,#DIV/0!,#DIV/0!,0.275,#DIV/0!,0.313,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.1,0,-0.1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,5,16,0.313,#DIV/0!,#DIV/0!,#DIV/0!,5,16,0.313,0.313,0,5,0,#DIV/0!,#DIV/0!,#DIV/0!,2,#DIV/0!,#DIV/0!,#DIV/0!,6,10
6,Charlie Black,196,90,University of Kansas,1921,Arco,Idaho,35.75,#DIV/0!,117,1.1,0.317,#DIV/0!,0.3895,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-1.225,2.525,1.3,-0.148,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,114.5,414.25,0.2565,#DIV/0!,#DIV/0!,#DIV/0!,114.5,414.25,0.2565,0.2565,105.75,163.5,0.597,#DIV/0!,#DIV/0!,31,83.75,#DIV/0!,#DIV/0!,#DIV/0!,144.25,334.75
7,Nelson Bobb,183,77,Temple University,1924,Philadelphia,Pennsylvania,56.75,#DIV/0!,1239,12.2,0.41025,#DIV/0!,0.52075,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.575,0.875,1.525,0.0615,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,90.25,257.5,0.34625,#DIV/0!,#DIV/0!,#DIV/0!,90.25,257.5,0.34625,0.34625,82.5,134.75,0.606,#DIV/0!,#DIV/0!,135,122,#DIV/0!,#DIV/0!,#DIV/0!,130.75,263
8,Jake Bornheimer,196,90,Muhlenberg College,1927,New Brunswick,New Jersey,60,#DIV/0!,#DIV/0!,#DIV/0!,0.356,#DIV/0!,0.384,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.7,1.5,0.8,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,88,305,0.289,#DIV/0!,#DIV/0!,#DIV/0!,88,305,0.289,0.289,78,117,0.667,#DIV/0!,#DIV/0!,#DIV/0!,40,#DIV/0!,#DIV/0!,#DIV/0!,111,254
9,Vince Boryla,196,95,University of Denver,1927,East Chicago,Indiana,57,#DIV/0!,1720.666667,10.26666667,0.4316,#DIV/0!,0.299,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2,1.24,3.2,0.038666667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,237.4,640,0.3672,#DIV/0!,#DIV/0!,#DIV/0!,237.4,640,0.3672,0.3672,162.6,199.2,0.8242,#DIV/0!,#DIV/0!,207.75,122,#DIV/0!,#DIV/0!,#DIV/0!,184.4,637.4
10,Don Boven,193,95,Western Michigan University,1925,Kalamazoo,Michigan,43.66666667,#DIV/0!,945.6,11.24,0.429833333,#DIV/0!,0.520333333,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1,0.583333333,1.616666667,0.0596,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,119,346.6666667,0.343333333,#DIV/0!,#DIV/0!,#DIV/0!,119,346.6666667,0.343333333,0.343333333,131,186.1666667,0.7105,#DIV/0!,#DIV/0!,154,78.66666667,#DIV/0!,#DIV/0!,#DIV/0!,163.3333333,369
11,Harry Boykoff,208,102,St. John's University,1922,Brooklyn,New York,39.25,#DIV/0!,#DIV/0!,#DIV/0!,0.44075,#DIV/0!,0.31525,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.9,0.25,2.175,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,135,342.5,0.38325,#DIV/0!,#DIV/0!,#DIV/0!,135,342.5,0.38325,0.38325,87.75,115.5,0.75325,#DIV/0!,#DIV/0!,146.6666667,67.25,#DIV/0!,#DIV/0!,#DIV/0!,155.75,357.75
12,Joe Bradley,190,79,Oklahoma State University,1928,Washington,Oklahoma,46,#DIV/0!,#DIV/0!,#DIV/0!,0.289,#DIV/0!,0.284,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-1,0.7,-0.3,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,36,134,0.269,#DIV/0!,#DIV/0!,#DIV/0!,36,134,0.269,0.269,15,38,0.395,#DIV/0!,#DIV/0!,#DIV/0!,36,#DIV/0!,#DIV/0!,#DIV/0!,51,87
13,Bob Brannum,196,97,Michigan State University,1925,,,67.6,#DIV/0!,1644,11.35,0.4042,#DIV/0!,0.3974,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.18,0.94,1.1,0.03175,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,177.4,516.2,0.346,#DIV/0!,#DIV/0!,#DIV/0!,177.4,516.2,0.346,0.346,136.2,208.8,0.6492,#DIV/0!,#DIV/0!,486,139.8,#DIV/0!,#DIV/0!,#DIV/0!,262.6,491
14,Carl Braun,196,81,Colgate University,1927,Brooklyn,New York,62.18181818,#DIV/0!,1840.9,15.21,0.466818182,#DIV/0!,0.324818182,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,3.436363636,1.345454545,4.8,0.1105,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,303.3636364,768.2727273,0.401818182,#DIV/0!,#DIV/0!,#DIV/0!,303.3636364,768.2727273,0.401818182,0.401818182,224.5454545,274.7272727,0.809090909,#DIV/0!,#DIV/0!,212.2,241.6363636,#DIV/0!,#DIV/0!,#DIV/0!,174.3636364,831.2727273
15,Frankie Brian,185,81,Louisiana State University,1923,Zachary,Louisiana,62.57142857,#DIV/0!,1523.2,13.54,0.434428571,#DIV/0!,0.429142857,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2.3,2.014285714,4.285714286,0.0864,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,252.1428571,741.7142857,0.342142857,#DIV/0!,#DIV/0!,#DIV/0!,252.1428571,741.7142857,0.342142857,0.342142857,264.1428571,321.5714286,0.816,#DIV/0!,#DIV/0!,150.5,162.5714286,#DIV/0!,#DIV/0!,#DIV/0!,161,768.4285714
16,Price Brookfield,193,83,West Texas A&M University,1920,Floydada,Texas,7,#DIV/0!,#DIV/0!,#DIV/0!,0.592,#DIV/0!,0.565,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.5,0.1,0.5,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,11,23,0.478,#DIV/0!,#DIV/0!,#DIV/0!,11,23,0.478,0.478,12,13,0.923,#DIV/0!,#DIV/0!,#DIV/0!,1,#DIV/0!,#DIV/0!,#DIV/0!,7,34
17,Bob Brown,193,92,Miami University,1923,Versailles,Ohio,62,#DIV/0!,#DIV/0!,#DIV/0!,0.414,#DIV/0!,0.33,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2.1,-0.9,1.2,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,276,764,0.361,#DIV/0!,#DIV/0!,#DIV/0!,276,764,0.361,0.361,172,252,0.683,#DIV/0!,#DIV/0!,#DIV/0!,101,#DIV/0!,#DIV/0!,#DIV/0!,269,724
18,Jim Browne,208,106,,1930,Midlothian,Illinois,31,#DIV/0!,#DIV/0!,#DIV/0!,0.392,#DIV/0!,0.563,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.1,-0.1,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,17,48,0.354,#DIV/0!,#DIV/0!,#DIV/0!,17,48,0.354,0.354,13,27,0.481,#DIV/0!,#DIV/0!,#DIV/0!,8,#DIV/0!,#DIV/0!,#DIV/0!,16,47
19,Walt Budko,196,99,Columbia University,1925,Kearney,New Jersey,64.33333333,#DIV/0!,1126,10.2,0.428,#DIV/0!,0.418333333,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.3,1.433333333,2.733333333,0.065,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,153.3333333,452,0.354666667,#DIV/0!,#DIV/0!,#DIV/0!,153.3333333,452,0.354666667,0.354666667,141.6666667,191.6666667,0.725,#DIV/0!,#DIV/0!,342,124,#DIV/0!,#DIV/0!,#DIV/0!,219.3333333,448.3333333
20,Jack Burmaster,190,86,University of Illinois at Urbana-Champaign,1926,,,61,#DIV/0!,#DIV/0!,#DIV/0!,0.378,#DIV/0!,0.256,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.1,-0.4,-0.4,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,237,711,0.333,#DIV/0!,#DIV/0!,#DIV/0!,237,711,0.333,0.333,124,182,0.681,#DIV/0!,#DIV/0!,#DIV/0!,179,#DIV/0!,#DIV/0!,#DIV/0!,237,598
21,Tommy Byrnes,190,79,Seton Hall University,1923,Teaneck,New Jersey,29.4,#DIV/0!,#DIV/0!,#DIV/0!,0.3518,#DIV/0!,0.3212,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.42,0.42,-0.02,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,56.4,186.2,0.2958,#DIV/0!,#DIV/0!,#DIV/0!,56.4,186.2,0.2958,0.2958,39.4,58.4,0.6628,#DIV/0!,#DIV/0!,35.5,45.2,#DIV/0!,#DIV/0!,#DIV/0!,47.6,152.2
22,Bill Calhoun,190,81,City College of San Francisco,1927,San Francisco,California,56,#DIV/0!,1728.166667,11.15,0.421375,#DIV/0!,0.522125,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.9375,1.6,2.5375,0.062166667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,150.625,444.625,0.332125,#DIV/0!,#DIV/0!,#DIV/0!,150.625,444.625,0.332125,0.332125,154.25,215.75,0.712875,#DIV/0!,#DIV/0!,224.1428571,133.375,#DIV/0!,#DIV/0!,#DIV/0!,109.375,455.5
23,Don Carlson,183,77,University of Minnesota,1919,Minneapolis,Minnesota,33,#DIV/0!,#DIV/0!,#DIV/0!,0.399,#DIV/0!,0.338,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.35,1,1.4,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,58,168,0.3555,#DIV/0!,#DIV/0!,#DIV/0!,58,168,0.3555,0.3555,38.5,55.5,0.613,#DIV/0!,#DIV/0!,15,47.5,#DIV/0!,#DIV/0!,#DIV/0!,74.5,154.5
24,Bob Carpenter,196,90,East Texas State University,1917,,,44.5,#DIV/0!,#DIV/0!,#DIV/0!,0.40775,#DIV/0!,0.39925,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.825,1.35,2.2,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,107.5,321.75,0.319,#DIV/0!,#DIV/0!,#DIV/0!,107.5,321.75,0.319,0.319,100,128,0.80025,#DIV/0!,#DIV/0!,152.6666667,62.5,#DIV/0!,#DIV/0!,#DIV/0!,99.5,315
25,Jake Carter,193,88,East Texas State University,1924,,,16,#DIV/0!,#DIV/0!,#DIV/0!,0.420333333,#DIV/0!,0.728333333,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.2,0.266666667,0.466666667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,15.33333333,50,0.309666667,#DIV/0!,#DIV/0!,#DIV/0!,15.33333333,50,0.309666667,0.309666667,24,35.33333333,0.679333333,#DIV/0!,#DIV/0!,#DIV/0!,16,#DIV/0!,#DIV/0!,#DIV/0!,39.33333333,54.66666667
26,Al Cervi*,180,77,,1917,Buffalo,New York,50.5,#DIV/0!,575.5,20.1,0.5395,#DIV/0!,0.9455,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,4,1.5,5.5,0.318,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,101.25,282,0.37625,#DIV/0!,#DIV/0!,#DIV/0!,101.25,282,0.37625,0.37625,195.25,232.75,0.83525,#DIV/0!,#DIV/0!,87,162,#DIV/0!,#DIV/0!,#DIV/0!,167.25,397.75
27,John Chaney,190,83,Louisiana State University,1920,,,10.66666667,#DIV/0!,#DIV/0!,#DIV/0!,0.352333333,#DIV/0!,0.336,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.1,0.066666667,-0.066666667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,16.66666667,57.33333333,0.289,#DIV/0!,#DIV/0!,#DIV/0!,16.66666667,57.33333333,0.289,0.289,13.33333333,19.33333333,0.687666667,#DIV/0!,#DIV/0!,#DIV/0!,13.33333333,#DIV/0!,#DIV/0!,#DIV/0!,15.33333333,46.66666667
28,Leroy Chollet,188,86,Canisius College,1925,New Orleans,Louisiana,31.5,#DIV/0!,#DIV/0!,#DIV/0!,0.2935,#DIV/0!,0.343,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.35,0.45,0.1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,33.5,115,0.2295,#DIV/0!,#DIV/0!,#DIV/0!,33.5,115,0.2295,0.2295,23.5,37.5,0.6285,#DIV/0!,#DIV/0!,15,24.5,#DIV/0!,#DIV/0!,#DIV/0!,40.5,90.5
29,Bill Closs,196,88,Rice University,1922,Edge,Texas,62,#DIV/0!,1120,10.4,0.380666667,#DIV/0!,0.348333333,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.6,2.966666667,2.4,-0.001,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,201.6666667,639.3333333,0.314333333,#DIV/0!,#DIV/0!,#DIV/0!,201.6666667,639.3333333,0.314333333,0.314333333,153,213,0.714666667,#DIV/0!,#DIV/0!,302.5,115.3333333,#DIV/0!,#DIV/0!,#DIV/0!,157,556.3333333
30,Paul Cloyd,188,81,University of Wisconsin,1920,,,4.666666667,#DIV/0!,#DIV/0!,#DIV/0!,0.312333333,#DIV/0!,0.320333333,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.1,0,-0.1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,4.666666667,17.33333333,0.242333333,#DIV/0!,#DIV/0!,#DIV/0!,4.666666667,17.33333333,0.242333333,0.242333333,3.333333333,5.333333333,0.675,#DIV/0!,#DIV/0!,#DIV/0!,1.333333333,#DIV/0!,#DIV/0!,#DIV/0!,3.333333333,12.66666667
31,Jack Coleman,201,88,University of Louisville,1924,Burgin,Kentucky,64.36363636,#DIV/0!,2135.222222,15.5,0.449818182,#DIV/0!,0.237727273,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2.227272727,2.681818182,4.909090909,0.107111111,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,291.1818182,700.8181818,0.414272727,#DIV/0!,#DIV/0!,#DIV/0!,291.1818182,700.8181818,0.414272727,0.414272727,115.6363636,165.8181818,0.699545455,#DIV/0!,#DIV/0!,587.4,185.7272727,#DIV/0!,#DIV/0!,#DIV/0!,197.1818182,698
32,Bobby Cook,178,70,University of Wisconsin,1923,,,51,#DIV/0!,#DIV/0!,#DIV/0!,0.42,#DIV/0!,0.292,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,2.1,-0.3,1.9,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,222,620,0.358,#DIV/0!,#DIV/0!,#DIV/0!,222,620,0.358,0.358,143,181,0.79,#DIV/0!,#DIV/0!,#DIV/0!,158,#DIV/0!,#DIV/0!,#DIV/0!,114,587
33,Ray Corley,183,81,Georgetown University,1928,,,27.2,#DIV/0!,65,-6.9,0.3202,#DIV/0!,0.3342,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.34,0.52,0.16,-0.265,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,42.4,139.6,0.2678,#DIV/0!,#DIV/0!,#DIV/0!,42.4,139.6,0.2678,0.2678,28,47.6,0.6166,#DIV/0!,#DIV/0!,39.75,46.8,#DIV/0!,#DIV/0!,#DIV/0!,40.6,112.8
34,Jack Cotton,201,90,University of Wyoming,1924,Miles City,Montana,54,#DIV/0!,#DIV/0!,#DIV/0!,0.343,#DIV/0!,0.485,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-1,-0.5,-1.5,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,97,332,0.292,#DIV/0!,#DIV/0!,#DIV/0!,97,332,0.292,0.292,82,161,0.509,#DIV/0!,#DIV/0!,#DIV/0!,65,#DIV/0!,#DIV/0!,#DIV/0!,184,276
35,Dillard Crocker,193,92,Western Michigan University,1925,Coffee County,Tennessee,38,#DIV/0!,585.5,12.625,0.4516,#DIV/0!,0.6538,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.28,0.28,0.58,0.1315,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,108.2,336.4,0.349,#DIV/0!,#DIV/0!,#DIV/0!,108.2,336.4,0.349,0.349,111.4,159.2,0.7174,#DIV/0!,#DIV/0!,81.5,52.4,#DIV/0!,#DIV/0!,#DIV/0!,137.2,327.8
36,Chink Crossin,185,74,University of Pennsylvania,1923,Luzerne,Pennsylvania,64,#DIV/0!,#DIV/0!,#DIV/0!,0.363,#DIV/0!,0.176,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.6,2.7,2.1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,185,574,0.322,#DIV/0!,#DIV/0!,#DIV/0!,185,574,0.322,0.322,79,101,0.782,#DIV/0!,#DIV/0!,#DIV/0!,148,#DIV/0!,#DIV/0!,#DIV/0!,139,449
37,Fran Curran,183,79,University of Notre Dame,1922,Sterling,Illinois,66,#DIV/0!,#DIV/0!,#DIV/0!,0.579,#DIV/0!,1.026,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,5.5,1.1,6.6,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,98,235,0.417,#DIV/0!,#DIV/0!,#DIV/0!,98,235,0.417,0.417,199,241,0.826,#DIV/0!,#DIV/0!,#DIV/0!,71,#DIV/0!,#DIV/0!,#DIV/0!,113,395
38,Jimmy Darden,185,77,University of Denver,1922,,,26,#DIV/0!,#DIV/0!,#DIV/0!,0.379,#DIV/0!,0.329,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.1,-0.3,-0.2,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,78,243,0.321,#DIV/0!,#DIV/0!,#DIV/0!,78,243,0.321,0.321,55,80,0.688,#DIV/0!,#DIV/0!,#DIV/0!,67,#DIV/0!,#DIV/0!,#DIV/0!,67,211
39,Bob Davies*,185,79,Seton Hall University,1920,Harrisburg,Pennsylvania,67,#DIV/0!,2154.25,18,0.4585,#DIV/0!,0.444666667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,4.716666667,2.133333333,6.866666667,0.14775,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,329.1666667,866,0.3805,#DIV/0!,#DIV/0!,#DIV/0!,329.1666667,866,0.3805,0.3805,290,383.1666667,0.7575,#DIV/0!,#DIV/0!,196,321.5,#DIV/0!,#DIV/0!,#DIV/0!,228.1666667,948.3333333
40,Hook Dillon,190,81,University of North Carolina,1924,Savannah,Georgia,22,#DIV/0!,#DIV/0!,#DIV/0!,0.278,#DIV/0!,0.4,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.5,0.2,-0.4,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,10,55,0.182,#DIV/0!,#DIV/0!,#DIV/0!,10,55,0.182,0.182,16,22,0.727,#DIV/0!,#DIV/0!,#DIV/0!,5,#DIV/0!,#DIV/0!,#DIV/0!,19,36
41,Earl Dodd,196,79,Truman State University,1924,,,9,#DIV/0!,#DIV/0!,#DIV/0!,0.257,#DIV/0!,0.185,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-0.3,0,-0.3,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,6,27,0.222,#DIV/0!,#DIV/0!,#DIV/0!,6,27,0.222,0.222,3,5,0.6,#DIV/0!,#DIV/0!,#DIV/0!,6,#DIV/0!,#DIV/0!,#DIV/0!,13,15
