,Player,height,weight,collage,born,birth_city,birth_state,G/season,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2829,Jeryl Sasser,198,90,Southern Methodist University,1979,Dallas,Texas,41,2,530.5,7.65,0.3555,0.1065,0.367,8.1,13.15,10.6,8.65,3.3,0.45,12.45,17.4,#DIV/0!,-0.15,0.5,0.35,-0.017,#DIV/0!,-5.45,0.2,-5.25,-0.15,33.5,110.5,0.2615,6.5,22,0.295,27,88.5,0.2635,0.2775,28.5,41.5,0.7395,33.5,62,95.5,33.5,24,6,20.5,47,102
2830,Kenny Satterfield,188,84,University of Cincinnati,1981,New York,New York,28.5,4,391,6.025,0.34,0.11475,0.1545,3.925,6.65,5.225,25.875,2.15,0.2,20.425,19.85,#DIV/0!,-0.825,0.3,-0.55,-0.07525,#DIV/0!,-5.625,-1.775,-7.375,-0.475,45.75,141.25,0.29975,4.25,20.75,0.205666667,41.5,120.5,0.31625,0.311,17.5,24,0.66475,12.25,22.25,34.5,61,17.75,1.25,34.75,28.75,113.25
2831,Brian Scalabrine,206,109,University of Southern California,1978,Long Beach,California,47.27272727,5.545454545,615.6363636,7.472727273,0.483636364,0.354181818,0.174090909,4.5,12.57272727,8.581818182,10.5,1.327272727,1.672727273,18.12727273,13.4,#DIV/0!,-0.081818182,0.772727273,0.681818182,0.056181818,#DIV/0!,-3.409090909,0.827272727,-2.563636364,-0.090909091,53.63636364,137.4545455,0.398818182,16.36363636,47.54545455,0.288363636,37.27272727,89.90909091,0.437272727,0.454363636,21.27272727,27.18181818,0.7474,25,69,94,39.63636364,14.27272727,11,31,74.45454545,144.9090909
2832,Ansu Sesay,206,102,University of Mississippi,1976,Greensboro,North Carolina,31.75,1.5,325.25,12.35,0.48075,0.077,0.37,9.525,12.15,10.825,9.325,1.325,1.575,11.225,17.8,#DIV/0!,0.175,0.2,0.35,0.07275,#DIV/0!,-1.95,-0.975,-2.925,-0.1,40.25,92.75,0.43575,2,7.25,0.268,38.25,85.5,0.4505,0.446,17.75,27.75,0.62725,25.5,30.25,55.75,15.5,9.5,7.5,14.5,40.5,100.25
2833,Bobby Simmons,201,95,DePaul University,1980,Chicago,Illinois,46.6,22.8,1151.3,9.95,0.4591,0.379,0.212,5.58,11.4,8.42,9.54,1.64,0.57,10.15,15.84,#DIV/0!,1.25,0.76,2.02,0.0513,#DIV/0!,-1.3,-1.22,-2.51,0.54,155.1,355.2,0.3699,37.8,95.5,0.2756,117.3,259.7,0.424111111,0.4203,70.9,86.2,0.791222222,55.9,123.2,179.1,71,39.6,8.3,52.2,115.3,418.9
2834,Leon Smith,208,106,,1980,Chicago,Illinois,7.5,0,52,17.85,0.4815,0,0.327,20.55,26.65,23.6,2.35,1.3,0.35,4.1,19.8,#DIV/0!,0.05,0.05,0.1,0.155,#DIV/0!,-2.05,-6.35,-8.4,-0.05,5.5,14,0.4425,0,0,#DIV/0!,5.5,14,0.4425,0.4425,5.5,8.5,0.647,5.5,11,16.5,1.5,2.5,0.5,1.5,6.5,16.5
2835,Will Solomon,185,83,Clemson University,1978,Hartford,Connecticut,42,5.5,574,11.6,0.491,0.402,0.16225,1.9,8.9,5.375,23.475,2.025,0.4,14.75,20.575,#DIV/0!,-0.175,0.3,0.125,0.01875,#DIV/0!,-1.45,-2.9,-4.325,-0.375,80.75,205.25,0.403,25.5,83.5,0.33025,55.25,121.75,0.44175,0.47075,24.75,35.25,0.68475,9,40,49,89.5,22.25,3.75,42.5,54.5,211.75
2836,Etan Thomas,206,116,Syracuse University,1978,Harlem,New York,45.44444444,8.222222222,787.1111111,13.57777778,0.543888889,0,0.529555556,10.36666667,20.56666667,15.4,2.811111111,0.866666667,4.288888889,15.82222222,15.87777778,#DIV/0!,0.8,0.855555556,1.633333333,0.092666667,#DIV/0!,-3.511111111,-0.222222222,-3.744444444,-0.122222222,98.88888889,192.6666667,0.504777778,0,0,#DIV/0!,98.88888889,192.6666667,0.504777778,0.504777778,62.33333333,103.3333333,0.623555556,75.22222222,138.8888889,214.1111111,16.55555556,14.22222222,47.44444444,42.77777778,98.77777778,260.1111111
2837,Jamaal Tinsley,190,88,Iowa State University,1978,Brooklyn,New York,49.72727273,36.72727273,1313,12.1,0.449545455,0.356727273,0.189727273,2.481818182,9.963636364,6.209090909,35.85454545,2.6,0.727272727,23.84545455,18.85454545,#DIV/0!,-0.063636364,1.609090909,1.572727273,0.034454545,#DIV/0!,-1.281818182,-0.436363636,-1.718181818,0.527272727,159.9090909,407.3636364,0.375363636,36.09090909,120.5454545,0.264818182,123.8181818,286.8181818,0.453454545,0.420454545,67,93.54545455,0.7242,31.36363636,114.5454545,145.9090909,302.7272727,70.54545455,14.09090909,125,118.7272727,422.9090909
2838,Oscar Torres,198,95,,1976,Caracas,Venezuela,41,6.5,592,13.05,0.547,0.3655,0.432,3.95,8.4,6.2,5.4,1.6,0.9,13.2,19.7,#DIV/0!,0.45,0.05,0.55,0.0635,#DIV/0!,-0.65,-3.15,-3.8,-0.25,75.5,188.5,0.42,22,69.5,0.416,53.5,119,0.4235,0.496,48,62.5,0.7405,25,42,67,21.5,14.5,5.5,28.5,36.5,221
